instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
42.0,02/01/2011,1.0,0.0,1.0,18.0,0.0,0.0,0.0,2.0,0.36,0.3333,0.46,0.45976,10,43,53
43.0,02/01/2011,1.0,0.0,1.0,19.0,0.0,0.0,0.0,1.0,0.32,0.2879,0.42,0.6269199999999999,1,29,30
44.0,02/01/2011,1.0,0.0,1.0,20.0,0.0,0.0,0.0,1.0,0.3,0.2727,0.39,0.50148,5,17,22
45.0,02/01/2011,1.0,0.0,1.0,21.0,0.0,0.0,0.0,1.0,0.26,0.2273,0.44,0.45976,11,20,31
46.0,02/01/2011,1.0,0.0,1.0,22.0,0.0,0.0,0.0,1.0,0.24,0.2121,0.44,0.41789999999999994,0,9,9
47.0,02/01/2011,1.0,0.0,1.0,23.0,0.0,0.0,0.0,1.0,0.22,0.2273,0.47,0.22988,0,8,8
48.0,03/01/2011,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.22,0.197,0.44,0.50148,0,5,5
49.0,03/01/2011,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,0.1667,0.44,0.5850599999999999,0,2,2
50.0,03/01/2011,1.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,0.16,0.1364,0.47,0.5433399999999999,0,1,1
51.0,03/01/2011,1.0,0.0,1.0,5.0,0.0,1.0,1.0,1.0,0.16,0.1364,0.47,0.39704,0,3,3
52.0,03/01/2011,1.0,0.0,1.0,6.0,0.0,1.0,1.0,1.0,0.14,0.1061,0.5,0.5433399999999999,0,30,30
53.0,03/01/2011,1.0,0.0,1.0,7.0,0.0,1.0,1.0,1.0,0.14,0.1364,0.5,0.2716,1,63,64
54.0,03/01/2011,1.0,0.0,1.0,8.0,0.0,1.0,1.0,1.0,0.14,0.1212,0.5,0.39704,1,153,154
55.0,,1.0,0.0,1.0,9.0,0.0,1.0,1.0,1.0,0.16,0.1667,0.43,0.5433399999999999,7,81,88
56.0,03/01/2011,1.0,0.0,1.0,10.0,0.0,1.0,1.0,1.0,0.18,0.1667,0.43,0.35517999999999994,11,33,44
57.0,03/01/2011,1.0,0.0,1.0,11.0,0.0,1.0,1.0,1.0,0.2,0.1818,0.4,0.45976,10,41,51
58.0,03/01/2011,1.0,0.0,1.0,12.0,0.0,1.0,1.0,1.0,0.22,0.2121,0.35,0.41789999999999994,13,48,61
59.0,03/01/2011,1.0,0.0,1.0,13.0,0.0,1.0,1.0,1.0,0.24,0.2121,0.35,0.39704,8,53,61
60.0,03/01/2011,1.0,0.0,1.0,14.0,0.0,1.0,1.0,1.0,0.26,0.2424,0.3,0.39704,11,66,77
61.0,03/01/2011,1.0,0.0,1.0,15.0,0.0,1.0,1.0,1.0,0.26,0.2424,0.3,0.35517999999999994,14,58,72
62.0,03/01/2011,1.0,0.0,1.0,16.0,0.0,1.0,1.0,1.0,0.26,0.2424,0.3,0.35517999999999994,9,67,76
63.0,03/01/2011,1.0,0.0,1.0,17.0,0.0,1.0,1.0,1.0,0.24,0.2273,0.3,0.31345999999999996,11,146,157
64.0,03/01/2011,1.0,0.0,1.0,18.0,0.0,1.0,1.0,1.0,0.24,0.2576,0.47,0.14629999999999999,9,148,157
65.0,03/01/2011,1.0,0.0,1.0,644.0,0.0,1.0,1.0,1.0,0.2,0.2576,0.47,0.0,8,102,110
66.0,03/01/2011,1.0,0.0,1.0,20.0,0.0,0.0,1.0,1.0,0.2,0.2273,0.47,0.14629999999999999,3,49,52
67.0,03/01/2011,1.0,0.0,1.0,21.0,0.0,1.0,1.0,1.0,0.18,0.197,0.64,0.18802,3,49,52
68.0,03/01/2011,1.0,0.0,1.0,22.0,0.0,1.0,1.0,1.0,0.14,0.1515,0.69,0.18802,0,20,20
69.0,03/01/2011,1.0,0.0,1.0,23.0,0.0,1.0,1.0,1.0,0.18,0.2121,0.55,0.14629999999999999,1,11,12
70.0,04/01/2011,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.16,0.1818,0.55,0.14629999999999999,0,5,5
71.0,04/01/2011,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.16,0.1515,0.59,0.14629999999999999,0,2,2
72.0,,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.14,0.1515,0.63,0.18802,0,1,1
73.0,04/01/2011,1.0,0.0,1.0,4.0,0.0,2.0,1.0,1.0,0.14,0.1818,0.63,0.12544,0,2,2
74.0,04/01/2011,1.0,0.0,1.0,5.0,0.0,2.0,1.0,1.0,0.12,0.1515,0.68,0.14629999999999999,0,4,4
75.0,04/01/2011,1.0,0.0,1.0,6.0,0.0,2.0,1.0,1.0,0.12,0.1515,0.74,0.14629999999999999,0,36,36
76.0,04/01/2011,1.0,0.0,1.0,7.0,0.0,2.0,1.0,1.0,0.12,0.1515,0.74,0.18802,2,92,94
77.0,04/01/2011,1.0,0.0,1.0,8.0,0.0,2.0,1.0,1.0,0.14,0.1515,0.69,0.31345999999999996,2,177,179
78.0,04/01/2011,1.0,0.0,1.0,9.0,0.0,2.0,1.0,,0.16,0.1515,0.64,0.31345999999999996,2,98,100
79.0,04/01/2011,1.0,0.0,1.0,10.0,0.0,2.0,1.0,2.0,0.16,0.1364,0.69,0.45976,55,37,92
80.0,04/01/2011,1.0,0.0,1.0,11.0,0.0,2.0,1.0,1.0,0.22,0.2121,0.51,0.41789999999999994,7,50,57
81.0,04/01/2011,1.0,0.0,1.0,12.0,0.0,2.0,1.0,1.0,0.22,0.2273,0.51,0.22988,12,66,78
82.0,04/01/2011,1.0,0.0,1.0,13.0,0.0,2.0,1.0,1.0,0.24,0.2273,0.52,0.2716,18,79,97
83.0,04/01/2011,1.0,0.0,1.0,14.0,0.0,2.0,1.0,1.0,0.26,0.2576,0.52,0.31345999999999996,9,54,63
84.0,04/01/2011,1.0,0.0,1.0,15.0,,2.0,1.0,1.0,0.28,0.2727,0.52,0.35517999999999994,17,48,65
,04/01/2011,1.0,0.0,1.0,16.0,0.0,2.0,1.0,1.0,0.3,0.2879,0.49,0.35517999999999994,15,68,83
86.0,04/01/2011,1.0,0.0,1.0,17.0,0.0,2.0,1.0,1.0,0.28,0.2727,0.48,0.31345999999999996,10,202,212
87.0,04/01/2011,1.0,0.0,1.0,18.0,0.0,2.0,1.0,,0.26,0.2576,0.48,0.2716,3,179,182
88.0,04/01/2011,1.0,0.0,1.0,19.0,0.0,2.0,1.0,1.0,0.24,0.2576,0.48,0.14629999999999999,2,110,112
89.0,04/01/2011,1.0,0.0,1.0,20.0,0.0,2.0,1.0,1.0,0.24,0.2576,0.48,0.14629999999999999,1,53,54
90.0,04/01/2011,1.0,0.0,1.0,21.0,0.0,2.0,1.0,1.0,0.22,0.2727,0.64,0.0,0,48,48
91.0,04/01/2011,1.0,0.0,1.0,22.0,0.0,2.0,1.0,1.0,0.22,0.2576,0.64,0.12544,1,34,35
92.0,04/01/2011,1.0,0.0,1.0,23.0,0.0,2.0,1.0,1.0,0.2,0.2273,0.69,0.12544,2,9,11
794.0,05/01/2011,1.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.2,0.2576,0.64,0.0,0,6,6
94.0,05/01/2011,1.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.16,0.197,0.74,0.12544,0,6,6
95.0,05/01/2011,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.16,0.197,0.74,0.12544,0,2,2
96.0,05/01/2011,1.0,0.0,1.0,4.0,0.0,3.0,1.0,1.0,0.24,0.2273,0.48,0.31345999999999996,0,2,2
97.0,05/01/2011,1.0,0.0,1.0,,0.0,3.0,1.0,1.0,0.22,0.2273,0.47,0.22988,0,3,3
,05/01/2011,1.0,0.0,1.0,6.0,0.0,3.0,1.0,1.0,0.2,0.197,0.47,0.31345999999999996,0,33,33
99.0,05/01/2011,1.0,0.0,1.0,7.0,0.0,3.0,1.0,1.0,0.18,0.1818,0.43,0.2716,1,87,88
100.0,05/01/2011,1.0,0.0,1.0,8.0,0.0,3.0,1.0,1.0,0.2,0.1818,0.4,0.41789999999999994,3,192,195
101.0,05/01/2011,1.0,0.0,1.0,9.0,0.0,3.0,1.0,1.0,0.22,0.197,0.37,0.45976,6,109,115
102.0,05/01/2011,1.0,0.0,1.0,10.0,0.0,3.0,1.0,1.0,0.22,0.197,0.37,0.45976,4,53,57
103.0,05/01/2011,1.0,0.0,1.0,11.0,0.0,3.0,1.0,1.0,0.26,0.2273,0.33,0.45976,12,34,46
104.0,05/01/2011,1.0,0.0,1.0,12.0,0.0,3.0,1.0,1.0,0.26,0.2273,0.33,0.45976,5,74,79
105.0,05/01/2011,1.0,0.0,1.0,13.0,0.0,3.0,1.0,1.0,0.28,0.2576,0.3,0.41789999999999994,6,65,71
106.0,05/01/2011,1.0,0.0,1.0,14.0,0.0,3.0,1.0,1.0,0.3,0.2879,0.28,0.2716,10,52,62
107.0,05/01/2011,1.0,0.0,1.0,15.0,0.0,3.0,1.0,1.0,0.3,0.2879,0.28,0.2716,7,55,62
108.0,05/01/2011,1.0,0.0,1.0,16.0,0.0,3.0,1.0,11.0,0.3,0.3182,0.28,0.12544,4,85,89
109.0,05/01/2011,1.0,0.0,1.0,17.0,0.0,3.0,1.0,1.0,0.24,0.2273,0.38,0.2716,4,186,190
110.0,05/01/2011,1.0,0.0,1.0,18.0,0.0,3.0,1.0,1.0,0.24,0.2424,0.38,0.18802,3,166,169
111.0,05/01/2011,1.0,0.0,1.0,19.0,0.0,3.0,1.0,1.0,0.24,0.2576,0.38,0.14629999999999999,5,127,132
112.0,05/01/2011,1.0,0.0,1.0,20.0,0.0,3.0,1.0,1.0,0.22,0.2273,0.47,0.22988,7,82,89
113.0,05/01/2011,1.0,0.0,1.0,21.0,0.0,3.0,1.0,1.0,0.2,0.197,0.51,0.2716,264,40,304
114.0,05/01/2011,1.0,0.0,1.0,22.0,0.0,3.0,1.0,1.0,0.18,0.197,0.55,0.18802,1,41,42
115.0,05/01/2011,1.0,0.0,1.0,23.0,0.0,3.0,1.0,1.0,0.2,0.2576,0.47,0.0,1,18,19
116.0,06/01/2011,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.18,0.2424,0.55,0.0,0,11,11
117.0,06/01/2011,1.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,0.16,0.2273,0.64,0.0,0,4,4
118.0,06/01/2011,1.0,0.0,1.0,2.0,0.0,4.0,1.0,1.0,0.16,0.2273,0.64,0.0,0,2,2
119.0,06/01/2011,1.0,0.0,1.0,4.0,0.0,4.0,1.0,2.0,0.16,0.197,0.64,0.12544,0,1,1
120.0,06/01/2011,1.0,0.0,1.0,5.0,0.0,4.0,1.0,2.0,0.14,0.1818,0.69,0.12544,0,4,4
121.0,06/01/2011,1.0,0.0,1.0,6.0,0.0,4.0,1.0,2.0,0.14,0.1667,0.63,0.14629999999999999,0,36,36
122.0,06/01/2011,1.0,0.0,1.0,7.0,0.0,4.0,1.0,2.0,0.16,0.2273,0.59,0.0,0,95,95
123.0,06/01/2011,1.0,0.0,1.0,8.0,0.0,4.0,1.0,1.0,0.16,0.2273,0.59,0.0,3,216,219
124.0,06/01/2011,1.0,0.0,1.0,9.0,0.0,4.0,1.0,2.0,0.18,0.2424,0.51,0.0,6,116,122
125.0,06/01/2011,1.0,0.0,1.0,10.0,0.0,4.0,1.0,1.0,0.2,0.2576,0.47,0.0,3,42,45
126.0,06/01/2011,1.0,0.0,1.0,11.0,0.0,4.0,1.0,1.0,0.22,0.2576,0.44,0.12544,2,57,59
127.0,06/01/2011,1.0,0.0,1.0,12.0,0.0,4.0,1.0,1.0,0.26,0.2879,0.35,0.0,6,78,84
128.0,06/01/2011,1.0,0.0,1.0,13.0,0.0,4.0,1.0,1.0,0.26,0.2727,0.35,0.14629999999999999,12,55,67
129.0,06/01/2011,1.0,0.0,1.0,14.0,0.0,4.0,1.0,1.0,0.28,0.2727,0.36,0.22988,11,59,70
130.0,06/01/2011,1.0,0.0,1.0,,0.0,4.0,1.0,1.0,0.28,0.2727,0.36,0.0,8,54,62
131.0,06/01/2011,1.0,0.0,1.0,16.0,0.0,4.0,1.0,1.0,0.26,0.2576,0.38,0.22988,528,74,602
132.0,06/01/2011,1.0,0.0,1.0,17.0,0.0,4.0,1.0,1.0,0.22,0.2273,0.51,0.22988,9,163,172
133.0,06/01/2011,1.0,0.0,1.0,18.0,0.0,4.0,1.0,1.0,0.22,0.2273,0.51,0.18802,5,158,163
134.0,06/01/2011,1.0,0.0,1.0,19.0,0.0,4.0,1.0,1.0,0.22,0.2576,0.55,0.22988,3,109,112
135.0,06/01/2011,1.0,0.0,1.0,20.0,0.0,4.0,1.0,1.0,0.2,0.2121,0.51,0.22988,3,66,69
136.0,06/01/2011,1.0,0.0,1.0,21.0,0.0,4.0,1.0,2.0,0.22,0.2121,0.55,0.31345999999999996,0,48,48
137.0,06/01/2011,1.0,0.0,1.0,22.0,0.0,4.0,1.0,2.0,0.22,0.2121,0.51,0.39704,1,51,52
138.0,06/01/2011,1.0,0.0,1.0,23.0,0.0,4.0,1.0,2.0,0.2,0.197,0.59,0.2716,4,19,23
139.0,07/01/2011,1.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,0.2,0.197,0.64,0.2716,4,13,17
140.0,07/01/2011,1.0,0.0,1.0,1.0,0.0,5.0,1.0,2.0,0.2,0.197,0.69,0.31345999999999996,2,5,7
141.0,07/01/2011,1.0,0.0,1.0,2.0,0.0,5.0,1.0,2.0,0.2,0.197,0.69,0.31345999999999996,0,1,1
142.0,07/01/2011,1.0,0.0,1.0,4.0,0.0,4.0,1.0,2.0,0.2,0.2121,0.69,0.18802,0,1,1
143.0,07/01/2011,1.0,0.0,1.0,5.0,0.0,5.0,1.0,3.0,0.22,0.2727,0.55,0.0,0,5,5
144.0,07/01/2011,1.0,0.0,1.0,6.0,0.0,5.0,1.0,2.0,0.2,0.2576,0.69,0.0,8,26,34
145.0,07/01/2011,1.0,0.0,1.0,7.0,0.0,5.0,1.0,1.0,0.2,0.2121,0.69,0.18802,8,76,84
146.0,07/01/2011,1.0,0.0,1.0,8.0,0.0,5.0,1.0,1.0,0.2,0.197,0.51,0.35517999999999994,20,190,210
147.0,07/01/2011,1.0,0.0,1.0,9.0,0.0,5.0,1.0,1.0,0.2,0.1818,0.47,0.41789999999999994,9,125,134
148.0,07/01/2011,1.0,0.0,1.0,10.0,0.0,4.0,1.0,1.0,0.22,0.197,0.37,0.45976,16,47,63
149.0,07/01/2011,1.0,0.0,1.0,11.0,0.0,5.0,1.0,2.0,0.2,0.197,0.4,0.31345999999999996,19,48,67
150.0,07/01/2011,1.0,0.0,1.0,12.0,0.0,5.0,1.0,2.0,0.2,0.197,0.37,0.35517999999999994,9,50,59
151.0,07/01/2011,1.0,0.0,1.0,13.0,0.0,5.0,1.0,2.0,0.2,0.1818,0.37,0.39704,9,64,73
152.0,07/01/2011,1.0,0.0,1.0,14.0,0.0,5.0,1.0,2.0,0.2,0.197,0.4,0.35517999999999994,7,43,50
153.0,07/01/2011,1.0,0.0,1.0,15.0,0.0,5.0,1.0,2.0,0.2,0.2121,0.37,0.22988,9,63,72
154.0,07/01/2011,1.0,0.0,1.0,16.0,0.0,5.0,1.0,2.0,0.2,0.2121,0.37,0.22988,5,82,87
155.0,07/01/2011,1.0,0.0,1.0,17.0,0.0,5.0,1.0,2.0,0.2,0.2576,0.37,0.0,9,178,187
156.0,07/01/2011,1.0,0.0,1.0,18.0,0.0,5.0,1.0,1.0,0.2,0.2273,0.4,0.12544,7,116,123
157.0,07/01/2011,1.0,0.0,1.0,19.0,0.0,5.0,1.0,1.0,0.16,0.197,0.55,0.12544,3,92,95
158.0,07/01/2011,1.0,0.0,1.0,20.0,,5.0,1.0,1.0,0.18,0.2121,0.47,0.14629999999999999,1,50,51
159.0,07/01/2011,1.0,0.0,1.0,21.0,0.0,5.0,1.0,1.0,0.18,0.197,0.47,0.18802,0,39,39
160.0,07/01/2011,1.0,0.0,1.0,22.0,0.0,5.0,1.0,2.0,0.18,0.197,0.43,0.22988,2,34,36
161.0,07/01/2011,1.0,0.0,1.0,23.0,0.0,5.0,1.0,2.0,0.18,0.197,0.51,0.22988,1,14,15
162.0,08/01/2011,1.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,0.18,0.197,0.51,0.22988,1,24,25
163.0,08/01/2011,1.0,0.0,1.0,1.0,0.0,6.0,0.0,2.0,0.18,0.2121,0.55,0.12544,1,15,16
164.0,08/01/2011,1.0,0.0,1.0,2.0,0.0,6.0,0.0,2.0,0.18,0.2424,0.55,0.0,3,13,16
165.0,08/01/2011,1.0,0.0,1.0,3.0,0.0,5.0,0.0,3.0,0.18,0.197,0.55,0.22988,0,7,7
166.0,08/01/2011,1.0,0.0,1.0,4.0,0.0,6.0,0.0,3.0,0.18,0.197,0.55,0.22988,0,42,42
167.0,08/01/2011,1.0,0.0,1.0,5.0,0.0,6.0,0.0,2.0,0.16,0.1667,0.74,0.22988,0,5,5
168.0,08/01/2011,1.0,0.0,1.0,6.0,0.0,6.0,0.0,2.0,0.16,0.1667,0.74,0.22988,0,2,2
169.0,08/01/2011,1.0,0.0,1.0,7.0,0.0,6.0,0.0,2.0,0.16,0.1818,0.74,0.14629999999999999,1,8,9
170.0,08/01/2011,1.0,0.0,1.0,8.0,0.0,6.0,0.0,3.0,0.16,0.1818,0.93,0.14629999999999999,0,133,133
171.0,08/01/2011,1.0,0.0,1.0,9.0,0.0,6.0,0.0,3.0,0.16,0.1818,0.93,0.14629999999999999,0,20,20
172.0,08/01/2011,1.0,0.0,1.0,10.0,0.0,6.0,0.0,2.0,0.18,0.197,0.8,0.22988,5,56,61
173.0,08/01/2011,1.0,0.0,1.0,11.0,0.0,6.0,0.0,2.0,0.2,0.1818,0.69,0.5433399999999999,2,60,62
174.0,08/01/2011,1.0,0.0,1.0,12.0,0.0,6.0,0.0,2.0,0.2,0.1818,0.59,0.50148,8,90,98
175.0,08/01/2011,1.0,0.0,1.0,13.0,0.0,6.0,0.0,1.0,0.2,0.1818,0.44,0.45976,7,95,102
176.0,08/01/2011,1.0,0.0,1.0,14.0,0.0,6.0,0.0,1.0,0.2,0.1667,0.32,0.6895,12,83,95
177.0,08/01/2011,1.0,0.0,1.0,15.0,0.0,6.0,0.0,1.0,0.2,0.1667,0.32,0.6269199999999999,5,69,74
178.0,08/01/2011,1.0,0.0,1.0,16.0,0.0,6.0,0.0,1.0,0.18,0.1364,0.29,0.6269199999999999,8,68,76
179.0,08/01/2011,1.0,0.0,1.0,17.0,0.0,6.0,0.0,1.0,0.16,0.1212,0.37,0.77308,5,64,69
180.0,08/01/2011,1.0,0.0,1.0,18.0,943.0,6.0,0.0,1.0,0.14,0.1212,0.39,0.41789999999999994,3,52,55
,08/01/2011,1.0,0.0,1.0,19.0,0.0,6.0,0.0,1.0,0.14,0.1212,0.36,0.35517999999999994,4,26,30
182.0,08/01/2011,1.0,0.0,1.0,20.0,0.0,6.0,0.0,1.0,0.12,0.1212,0.36,0.35517999999999994,0,28,28
183.0,08/01/2011,1.0,0.0,1.0,21.0,0.0,6.0,0.0,1.0,0.12,0.1061,0.39,0.50148,2,35,37
184.0,08/01/2011,1.0,0.0,1.0,22.0,0.0,6.0,0.0,1.0,0.12,0.1061,0.36,0.5433399999999999,1,33,34
185.0,08/01/2011,1.0,0.0,1.0,23.0,0.0,6.0,0.0,1.0,0.1,0.0606,0.39,0.6269199999999999,0,22,22
186.0,09/01/2011,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0758,0.42,0.5433399999999999,1,24,25
187.0,09/01/2011,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.1,0.0606,0.42,0.6477799999999999,0,12,12
188.0,09/01/2011,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.1,0.0606,0.46,0.6477799999999999,0,11,11
189.0,09/01/2011,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.1,0.0758,0.46,0.5850599999999999,0,4,4
190.0,09/01/2011,1.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.08,0.0909,0.53,0.2716,0,1,1
191.0,09/01/2011,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.08,0.0909,0.53,0.39704,0,1,1
192.0,09/01/2011,1.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.1,0.0909,0.49,0.39704,0,1,1
193.0,09/01/2011,1.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.08,0.0909,0.53,0.2716,1,5,6
194.0,09/01/2011,1.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.1,0.0909,0.49,0.39704,0,10,10
195.0,09/01/2011,1.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.12,0.0758,0.46,0.7313599999999999,0,19,19
196.0,09/01/2011,1.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,0.14,0.1061,0.43,0.5433399999999999,0,49,49
197.0,09/01/2011,1.0,0.0,1.0,11.0,0.0,0.0,0.0,1.0,0.16,0.1212,0.4,0.7313599999999999,2,47,49
198.0,09/01/2011,1.0,0.0,1.0,12.0,0.0,0.0,0.0,1.0,0.18,0.1364,0.37,0.6269199999999999,4,79,83
199.0,09/01/2011,1.0,0.0,1.0,13.0,0.0,0.0,0.0,1.0,0.2,0.1667,0.34,0.6269199999999999,6,69,75
200.0,09/01/2011,1.0,0.0,1.0,14.0,0.0,0.0,0.0,1.0,0.22,0.1818,0.32,0.6477799999999999,8,64,72
201.0,09/01/2011,1.0,0.0,1.0,15.0,0.0,0.0,0.0,1.0,0.22,0.197,0.35,0.50148,5,77,82
202.0,09/01/2011,1.0,0.0,1.0,16.0,0.0,0.0,0.0,1.0,0.2,0.1667,0.34,0.6269199999999999,13,79,92
203.0,09/01/2011,1.0,0.0,1.0,17.0,0.0,0.0,0.0,1.0,0.18,0.1515,0.37,0.5433399999999999,3,59,62
204.0,09/01/2011,1.0,0.0,1.0,18.0,0.0,0.0,0.0,1.0,0.16,0.1364,0.4,0.45976,4,44,48
