yr,hr,holiday,workingday,temp,atemp,hum,windspeed,cnt,season_2,season_3,season_4,mnth_2,mnth_3,mnth_4,mnth_5,mnth_6,mnth_7,mnth_8,mnth_9,mnth_10,mnth_11,mnth_12,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,weathersit_2,weathersit_3,weathersit_4
1,17.0,0,1.0,0.475,0.4939,0.61,0.4562125308569413,0.1511976047904192,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
0,6.0,0,0.0,0.1,0.16060000000000002,0.77,0.1578699894204772,0.0029940119760479,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,5.0,0,1.0,0.5583333333333335,0.5545,0.45999999999999996,0.2280474903021041,0.0037425149700598,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,,0,1.0,0.8291666666666666,0.7969999999999999,0.89,0.1228400141060303,0.1032934131736526,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0,17.0,1,0.0,0.9125000000000001,0.8272999999999999,0.61,0.0,0.1414670658682635,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0,20.0,0,1.0,0.49583333333333346,0.5091,1.0,0.1578699894204772,0.0853293413173652,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
1,7.0,0,0.0,0.4125,0.4333,0.9600000000000001,0.1228400141060303,0.0074850299401197,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0,17.0,0,1.0,1.0,0.9182,0.52,0.298224991183731,0.1077844311377245,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,18.0,0,0.0,0.4125,0.3879,0.43999999999999995,0.4912425061713882,0.1729041916167664,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,13.0,0,1.0,0.85,0.7969999999999999,0.85,0.4210650052897614,0.1025449101796407,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
1,18.0,0,1.0,0.7041666666666666,0.7212,0.45999999999999996,0.298224991183731,0.1661676646706587,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1,16.0,0,1.0,0.7458333333333333,0.7061,0.8,0.298224991183731,0.1631736526946108,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1,14.0,0,1.0,0.8708333333333333,0.8120999999999999,0.73,0.1578699894204772,0.1706586826347305,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
1,0.0,0,1.0,0.8708333333333333,0.7817999999999999,0.6,0.1578699894204772,0.1923652694610778,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,4.0,0,1.0,0.5791666666666667,0.5697,1.0,0.1578699894204772,0.0074850299401197,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
1,15.0,0,1.0,0.8916666666666667,0.8727,0.85,0.1228400141060303,0.1983532934131736,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
1,15.0,0,0.0,0.9958333333333333,0.8727,0.44999999999999996,0.298224991183731,0.3517964071856287,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,6.0,0,0.0,0.49583333333333346,0.5091,0.97,0.1228400141060303,0.0164670658682634,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,4.0,0,1.0,0.35,0.35760000000000003,1.0,0.1930175149876572,0.0022455089820359,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
1,11.0,0,1.0,0.3916666666666667,0.4333,0.85,0.0,0.4476047904191617,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
0,20.0,0,0.0,0.725,0.7061,0.76,0.1228400141060303,0.1841317365269461,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,3.0,0,0.0,0.3083333333333333,0.31210000000000004,0.62,0.298224991183731,0.0247005988023952,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0,12.0,0,0.0,0.7666666666666667,0.7061,0.93,0.1930175149876572,0.1407185628742515,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,2.0,0,1.0,0.49583333333333346,0.5091,0.58,0.1228400141060303,0.0733532934131736,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,11.0,0,1.0,0.9125000000000001,0.8423999999999999,0.64,0.298224991183731,0.3353293413173653,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,9.0,0,0.0,0.7458333333333333,0.6909,0.93,0.1053250264488068,0.0254491017964071,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
0,18.0,0,1.0,0.7458333333333333,0.7212,0.62,0.333372516750911,0.1354790419161677,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
1,10.0,0,0.0,0.3083333333333333,0.37270000000000003,0.9,0.0,0.0224550898203592,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,21.0,0,1.0,0.9125000000000001,0.8727,0.74,0.298224991183731,0.3832335329341317,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
1,,0,0.0,0.4541666666666667,0.4485,0.91,0.1578699894204772,0.0718562874251497,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,9.0,0,0.0,0.7458333333333333,0.6909,0.93,0.1930175149876572,0.0217065868263473,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False
1,6.0,0,1.0,0.3916666666666667,0.4333,0.76,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
0,4.0,0,1.0,0.49583333333333346,0.5091,0.97,0.1578699894204772,0.0104790419161676,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
1,7.0,0,1.0,0.2041666666666666,0.2515,0.6900000000000001,0.1228400141060303,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,17.0,0,1.0,1.0,0.9485,0.57,0.3508875044081345,0.092065868263473,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,15.0,0,1.0,0.9541666666666666,0.903,0.68,0.333372516750911,0.1100299401197604,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,20.0,0,1.0,0.6416666666666667,0.6152,0.47,0.4912425061713882,0.4723053892215569,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,,0,1.0,0.7041666666666666,0.6606,0.98,0.2631950158692841,0.1444610778443114,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,14.0,1,0.0,0.9333333333333332,0.8576,0.61,0.1578699894204772,0.3622754491017964,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,4.0,0,1.0,0.725,0.6758,0.98,0.1053250264488068,0.030688622754491,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,19.0,0,1.0,0.4125,0.3879,0.64,0.5439050193957917,0.0755988023952095,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,8.0,0,1.0,0.5166666666666667,0.5242,1.0,0.3860350299753144,0.0172155688622754,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
0,23.0,0,1.0,0.3291666666666666,0.34240000000000004,0.75,0.1930175149876572,0.0808383233532934,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,12.0,0,0.0,0.7875000000000001,0.7363999999999999,0.89,0.1228400141060303,0.125748502994012,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,4.0,0,1.0,0.6416666666666667,0.6152,1.0,0.0,0.0104790419161676,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,7.0,0,0.0,0.7458333333333333,0.7061,0.84,0.2280474903021041,0.0089820359281437,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0,0.0,0.7458333333333333,0.6758,1.0,0.0,0.0770958083832335,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
0,19.0,0,0.0,0.8708333333333333,0.7969999999999999,0.7000000000000001,0.333372516750911,0.1624251497005988,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,14.0,0,1.0,0.9541666666666666,0.9333,0.74,0.2280474903021041,0.0793413173652694,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1,5.0,0,1.0,0.5791666666666667,0.5697,0.92,0.4912425061713882,0.0074850299401197,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0,0.0,0,1.0,0.6416666666666667,0.6152,1.0,0.1228400141060303,0.061377245508982,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
1,3.0,0,0.0,0.8083333333333332,0.7515,0.76,0.0,0.1002994011976047,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False
0,22.0,0,0.0,0.8291666666666666,0.7817999999999999,0.77,0.1578699894204772,0.2320359281437126,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,16.0,0,1.0,0.43333333333333346,0.4636,0.57,0.0,0.1773952095808383,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1,11.0,0,0.0,0.4541666666666667,0.4788,1.0,0.0,0.0351796407185628,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
1,23.0,0,1.0,0.3291666666666666,0.35760000000000003,0.75,0.1228400141060303,0.1691616766467066,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
1,6.0,0,0.0,0.725,0.7212,0.72,0.0,0.029191616766467,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,5.0,0,0.0,0.35,0.35760000000000003,0.8,0.1930175149876572,0.0366766467065868,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1,21.0,0,1.0,0.475,0.4939,0.86,0.1228400141060303,0.3720059880239521,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
1,8.0,0,1.0,0.225,0.2364,0.6900000000000001,0.2280474903021041,0.0082335329341317,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,15.0,0,0.0,0.49583333333333346,0.5091,1.0,0.2631950158692841,0.3630239520958084,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
0,3.0,0,1.0,0.6416666666666667,0.6152,1.0,0.2631950158692841,0.0164670658682634,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0,8.0,0,0.0,0.35,0.403,0.9600000000000001,0.0,0.0022455089820359,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,8.0,0,1.0,0.4125,0.403,0.81,0.3860350299753144,0.0089820359281437,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1,17.0,0,1.0,0.3083333333333333,0.32730000000000004,1.0,0.2280474903021041,0.0449101796407185,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0,23.0,0,0.0,0.6416666666666667,0.6152,1.0,0.298224991183731,0.1362275449101796,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
0,15.0,0,1.0,0.43333333333333346,0.403,0.57,0.4210650052897614,0.1287425149700599,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
1,20.0,0,1.0,0.8708333333333333,0.8272999999999999,0.81,0.298224991183731,0.1459580838323353,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
0,23.0,0,0.0,0.5375,0.5394,0.77,0.1578699894204772,0.1669161676646706,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,18.0,0,0.0,0.49583333333333346,0.5091,0.62,0.3860350299753144,0.3061377245508982,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,6.0,0,0.0,0.6416666666666667,0.6152,0.7100000000000001,0.1053250264488068,0.0486526946107784,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,21.0,0,1.0,0.725,0.7212,0.65,0.3508875044081345,0.2043413173652694,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,5.0,0,1.0,0.85,0.8120999999999999,0.9400000000000001,0.0,0.0082335329341317,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,23.0,0,0.0,0.8708333333333333,0.7817999999999999,0.6,0.333372516750911,0.2118263473053892,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,9.0,0,1.0,0.8083333333333332,0.7515,0.85,0.1053250264488068,0.0860778443113772,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,20.0,0,0.0,0.85,0.7969999999999999,0.85,0.333372516750911,0.1384730538922156,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,18.0,0,1.0,0.4541666666666667,0.4333,0.49,0.333372516750911,0.0883233532934131,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1,15.0,0,0.0,0.85,0.7969999999999999,0.81,0.298224991183731,0.2133233532934132,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,7.0,0,0.0,0.35,0.32730000000000004,0.75,0.4210650052897614,0.0007485029940119,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,17.0,1,0.0,0.6833333333333332,0.6455,0.75,0.333372516750911,0.3315868263473054,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
0,4.0,0,1.0,0.7458333333333333,0.7212,0.72,0.3508875044081345,0.0067365269461077,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,19.0,0,0.0,0.85,0.7969999999999999,0.81,0.1930175149876572,0.217814371257485,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,16.0,0,1.0,0.85,0.7817999999999999,0.73,0.1578699894204772,0.2028443113772455,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,,0,1.0,0.225,0.2515,0.78,0.1578699894204772,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,11.0,0,0.0,0.475,0.4939,1.0,0.1053250264488068,0.0823353293413173,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
1,2.0,0,1.0,0.43333333333333346,0.403,0.72,0.3508875044081345,0.0449101796407185,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,6.0,0,0.0,0.3291666666666666,0.34240000000000004,0.85,0.1578699894204772,0.0119760479041916,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0,17.0,0,1.0,0.4125,0.403,0.6,0.298224991183731,0.1017964071856287,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
1,10.0,0,1.0,0.225,0.2212,0.74,0.298224991183731,0.1264970059880239,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,14.0,0,1.0,0.6625000000000001,0.6303,0.7100000000000001,0.2631950158692841,0.1998502994011976,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
1,2.0,0,0.0,0.725,0.7212,0.65,0.2280474903021041,0.1272455089820359,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
1,8.0,0,0.0,0.6,0.5848,0.87,0.0,0.0089820359281437,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,9.0,0,1.0,0.4541666666666667,0.4485,0.72,0.2631950158692841,0.0553892215568862,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
1,12.0,0,1.0,0.8291666666666666,0.7515,0.52,0.3508875044081345,0.2552395209580838,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,19.0,0,0.0,0.5791666666666667,0.5697,0.59,0.1930175149876572,0.1998502994011976,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,11.0,0,0.0,0.6416666666666667,0.6152,0.79,0.1930175149876572,0.156437125748503,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,18.0,0,0.0,0.6,0.5848,1.0,0.4912425061713882,0.2163173652694611,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,11.0,0,0.0,0.6416666666666667,0.6152,1.0,0.1578699894204772,0.0516467065868263,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,19.0,0,0.0,0.43333333333333346,0.4333,0.49,0.2280474903021041,0.0950598802395209,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
1,22.0,0,0.0,0.2875,0.29700000000000004,0.62,0.2631950158692841,0.0755988023952095,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,13.0,0,1.0,0.6416666666666667,0.6152,1.0,0.1228400141060303,0.1467065868263473,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
1,19.0,0,0.0,0.49583333333333346,0.5091,0.77,0.3860350299753144,0.2776946107784431,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0,7.0,0,0.0,0.8083333333333332,0.7666999999999999,0.99,0.1578699894204772,0.0037425149700598,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,13.0,0,1.0,0.49583333333333346,0.5091,1.0,0.1053250264488068,0.1339820359281437,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
1,3.0,0,0.0,0.4541666666666667,0.4636,0.72,0.1053250264488068,0.18562874251497,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
0,7.0,0,0.0,0.3083333333333333,0.32730000000000004,1.0,0.1578699894204772,0.0052395209580838,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
1,0.0,0,0.0,0.7041666666666666,0.7061,0.75,0.1578699894204772,0.1714071856287425,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
0,15.0,0,1.0,1.0,0.9636,0.45999999999999996,0.333372516750911,0.1002994011976047,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,7.0,0,1.0,0.3916666666666667,0.3879,0.6,0.333372516750911,0.0067365269461077,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
1,9.0,0,0.0,0.3291666666666666,0.3879,0.85,0.0,0.0059880239520958,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,2.0,0,1.0,0.7666666666666667,0.7061,0.93,0.1053250264488068,0.1122754491017964,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
0,7.0,0,0.0,0.37083333333333346,0.403,0.85,0.1053250264488068,0.0014970059880239,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,17.0,0,1.0,0.4125,0.3879,0.54,0.4562125308569413,0.0890718562874251,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
1,,0,0.0,0.43333333333333346,0.4636,1.0,0.0,0.0059880239520958,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
1,16.0,0,0.0,0.5583333333333335,0.5545,0.97,0.1930175149876572,0.2709580838323353,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,18.0,0,1.0,0.9333333333333332,0.8727,0.64,0.3508875044081345,0.2125748502994012,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,14.0,0,1.0,0.725,0.6455,1.0,0.0,0.0531437125748503,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
0,5.0,0,1.0,0.2666666666666666,0.31210000000000004,0.9500000000000001,0.1053250264488068,0.0014970059880239,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
1,12.0,0,1.0,0.3291666666666666,0.34240000000000004,0.9,0.1578699894204772,0.2559880239520958,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
